代號,公司,扣抵稅率,配息,除息日,配股,除權日,股價,現金殖利率,殖利率,還原殖利率,發息日,配息率,董監持股,3年平均股利,6年平均股利,10年平均股利,10年股利次數,1QEPS,2QEPS,3QEPS,今年累積EPS,去年EPS,本益比,股價淨值比,5%每萬元買抵稅,5%持有一張抵稅,12%萬買,12%一張,20%萬買,20%一張,30%萬買,30%一張,多少張以上要繳健保費,一張繳健保費,
2106,建大,7.29%,2.2,,0.2,,51,4.31%,4.71%,4.88%,,59.41%,26.89%,2.55,2.32,1.85,10,0.75,0,0,0.75,4.04,12.35,1.99,-7.23,-36.89,-41.38,-211.02,-80.4,-410.02,-129.17,-658.76,8.0403,47.51,
2107,厚生,10.57%,0.85,06/29,0,,15.3,5.56%,5.56%,5.87%,07/20,53.13%,11.61%,1.88,1.94,1.41,10,0.05,0,0,0.05,1.6,15.77,0.62,0.12,0.18,-40.83,-62.47,-87.62,-134.06,-146.11,-223.55,22.3483,17.09,
2108,南帝,17.97%,2,08/04,0.5,08/04,27.3,7.33%,9.16%,10.06%,09/06,91.91%,36.99%,1.26,1.39,1.49,10,0.53,0,0,0.53,2.72,10,1.63,32.38,88.39,-37.48,-102.33,-117.33,-320.3,-217.13,-592.76,7.3405,52.04,
2109,華豐,20.48%,0.2,,0.2,,12.05,1.66%,3.32%,3.7%,,125%,9.14%,0.63,0.31,0.2,4,0.19,0,0,0.19,0.32,33.47,0.97,15.69,18.91,-9.92,-11.96,-39.2,-47.23,-75.79,-91.33,45.3556,8.42,
2114,鑫永銓,15.4%,5,07/13,0,,80,6.25%,6.25%,6.77%,08/16,80.65%,21.11%,5.33,4.67,3.8,10,1.17,0,0,1.17,6.2,13.33,2.35,14.47,115.75,-32.65,-261.2,-86.5,-692,-153.81,-1230.5,3.714,102.85,
2115,F-六暉,0%,2.2,07/05,0,,47.1,4.67%,4.67%,4.67%,07/28,65.67%,21.49%,1.77,0.88,0.53,3,0.88,0,0,0.88,3.35,13.81,1.67,0,0,0,0,0,0,0,0,0,0,
2201,裕隆,25.1%,0.9,07/20,0,,28.35,3.17%,3.17%,3.63%,08/24,39.3%,34.78%,0.77,0.85,0.73,10,0.43,0,0,0.43,2.29,14.25,0.62,21.98,62.3,-3.03,-8.6,-31.62,-89.64,-67.35,-190.94,19.7443,19.35,
2204,中華,14.3%,1.5,07/21,0,,24.15,6.21%,6.21%,6.69%,08/24,64.66%,52.44%,1.25,1.09,0.83,9,0.77,0,0,0.77,2.32,10.36,0.66,11.13,26.89,-35.45,-85.62,-88.7,-214.2,-155.25,-374.93,12.4436,30.7,
2206,三陽,8.56%,0.75,,0.25,,21.7,3.46%,4.61%,4.81%,,28.74%,9.08%,0.33,0.43,0.47,6,0.03,0,0,0.03,3.48,6.2,1.14,-4.3,-9.34,-37.94,-82.34,-76.39,-165.76,-124.44,-270.04,19.1791,19.92,
2207,和泰車,14.76%,12,07/18,0,,320,3.75%,3.75%,4.05%,08/10,67.04%,17.45%,11.7,9.68,7.3,10,4.9,0,0,4.9,17.9,18.4,4.16,7.54,241.32,-20.65,-660.67,-52.86,-1691.52,-93.13,-2980.08,1.5521,246.11,
2208,台船,35.47%,0.5,07/11,0,,14.75,3.39%,3.39%,4.12%,08/05,79.37%,43.19%,0.5,0.9,0.83,8,0.05,0,0,0.05,0.63,28.92,0.79,40.16,59.24,12.23,18.03,-19.7,-29.06,-59.61,-87.93,33.9746,11.24,
2221,大甲,23.25%,1,,0,,17.75,5.63%,5.63%,6.37%,,60.98%,56.53%,0.54,0.54,0.62,7,0.24,0,0,0.24,1.64,9.97,1.19,34.05,60.44,-9.97,-17.7,-60.28,-107,-123.17,-218.63,17.9171,21.32,
